Customer ID,City,Zip Code,Latitude,Longitude
8779-QRDMV,Los Angeles,90022,34.02381,-118.156582
7495-OOKFY,Los Angeles,90063,34.044271,-118.185237
1658-BYGOY,Los Angeles,90065,34.108833,-118.229715
4598-XLKNJ,Inglewood,90303,33.936291,-118.332639
4846-WHAFZ,Whittier,90602,33.972119,-118.020188
4412-YLTKF,Pico Rivera,90660,33.989524,-118.089299
0390-DCFDQ,Los Alamitos,90720,33.79499,-118.065591
3445-HXXGF,Sierra Madre,91024,34.168686,-118.057505
2656-FMOKZ,Pasadena,91106,34.139402,-118.128658
2070-FNEXE,Pasadena,91107,34.159007,-118.087353
0094-OIFMO,North Hollywood,91605,34.207295,-118.400022
9947-OTFQU,Covina,91722,34.097345,-117.906736
9514-JDSKI,El Monte,91732,34.074492,-118.01462
7273-TEFQD,La Puente,91746,34.038983,-117.991372
3606-TWKGI,Rowland Heights,91748,33.976753,-117.897367
4385-GZQXV,Ontario,91764,34.074087,-117.605618
3488-PGMQJ,Alpine,91901,32.827184,-116.703729
7534-BFESC,San Diego,92122,32.85723,-117.209774
8098-LLAZX,San Diego,92122,32.85723,-117.209774
0265-EDXBD,San Diego,92122,32.85723,-117.209774
2840-XANRC,San Diego,92122,32.85723,-117.209774
5020-ZSTTY,San Diego,92122,32.85723,-117.209774
5804-LEPIM,San Diego,92122,32.85723,-117.209774
0623-IIHUG,San Diego,92122,32.85723,-117.209774
9057-MSWCO,San Diego,92122,32.85723,-117.209774
4895-TMWIR,San Diego,92122,32.85723,-117.209774
0533-BNWKF,San Diego,92122,32.85723,-117.209774
0334-GDDSO,San Diego,92122,32.85723,-117.209774
5564-NEMQO,Thermal,92274,33.53604,-116.119222
6235-VDHOM,Riverside,92509,34.004379,-117.447864
5609-CEBID,Hemet,92544,33.644585,-116.871544
5956-VKDTT,Moreno Valley,92557,33.970661,-117.255039
0257-ZESQC,Perris,92571,33.828289,-117.201666
2865-TCHJW,Anaheim,92807,33.848733,-117.788357
5192-EBGOV,Brea,92823,33.924143,-117.79387
3419-SNJJD,Yorba Linda,92887,33.884073,-117.732197
4554-YGZIH,Summerland,93067,34.420998,-119.60137
5099-BAILX,Santa Barbara,93101,34.419203,-119.710008
4913-EHYUI,Alpaugh,93201,35.869626,-119.498771
1626-ERCMM,Camp Nelson,93208,36.057458,-118.591951
5644-PDMZC,Delano,93215,35.772244,-119.209689
4160-AMJTL,Fellows,93224,35.215731,-119.57013
0823-HSCDJ,Temecula,92592,33.507255,-117.029473
0067-DKWBL,San Diego,92129,32.961064,-117.134917
5244-IRFIH,San Diego,92129,32.961064,-117.134917
2684-EIWEO,San Diego,92129,32.961064,-117.134917
6683-VLCTZ,San Diego,92129,32.961064,-117.134917
0691-IFBQW,Biola,93606,36.798882,-120.019511
3643-AHCFP,Selma,93662,36.545322,-119.642281
9231-ZJYAM,Squaw Valley,93675,36.719141,-119.202677
0727-BMPLR,Fresno,93706,36.654614,-119.903674
0947-MUGVO,Jolon,93928,35.930782,-121.189757
0781-LKXBR,San Francisco,94102,37.7795,-122.419233
1907-UBQFC,San Francisco,94108,37.791998,-122.408653
6513-EECDB,San Francisco,94114,37.758085,-122.434801
7074-IEVOJ,San Francisco,94130,37.820894,-122.369725
4750-ZRXIU,Palo Alto,94304,37.386978,-122.177746
7028-DVOIQ,Birds Landing,94512,38.140719,-121.838298
4208-UFFGW,Byron,94514,37.83323,-121.601461
9889-TMAHG,Fremont,94539,37.516791,-121.899117
8919-FYFQZ,Livermore,94550,37.571748,-121.659562
6646-QVXLR,Napa,94558,38.489789,-122.27011
9369-XFEHK,Pleasanton,94566,37.633361,-121.862395
1374-DMZUI,San Ramon,94583,37.766556,-121.976784
1989-PRJHP,Pleasanton,94588,37.685052,-121.912061
4822-RVYBB,Berkeley,94704,37.871416,-122.246597
4184-TJFAN,Berkeley,94707,37.897753,-122.279391
4145-UQXUQ,Berkeley,94710,37.872902,-122.303708
1236-WFCDV,Greenbrae,94904,37.946617,-122.563571
1271-SJBGZ,Forest Knolls,94933,38.010092,-122.689442
4441-NIHPT,Freedom,95019,36.936228,-121.785559
8999-BOHSE,Gilroy,95020,37.03889,-121.528955
7029-RPUAV,Los Gatos,95030,37.222842,-121.988727
8111-SLLHI,San Jose,95128,37.316146,-121.936285
5293-WXJAK,San Jose,95135,37.28682,-121.723877
4086-YQSNZ,Glencoe,95232,38.358464,-120.579304
8399-YNDCH,Columbia,95310,38.085839,-120.37855
5565-FILXA,Escondido,92027,33.141265,-116.967221
4187-CINZD,Lakewood,90712,33.840524,-118.148403
6818-WOBHJ,Fulton,95439,38.493888,-122.777141
9134-CEQMF,Nice,95464,39.12334,-122.838198
8519-IMDHU,Alderpoint,95511,40.166028,-123.584144
3372-KWFBM,Bayside,95524,40.825486,-124.049485
7206-GZCDC,Loleta,95551,40.665952,-124.240051
1768-ZAIFU,Rio Dell,95562,40.485849,-124.163234
3793-MMFUH,Davis,95618,38.544002,-121.685559
6567-HOOPW,Folsom,95630,38.672638,-121.147403
8621-MNIHH,Madison,95653,38.674276,-121.961866
5419-CONWX,Pleasant Grove,95668,38.833554,-121.498102
7024-OHCCK,Sheridan,95681,38.984756,-121.345074
5357-TZHPP,Wheatland,95692,39.043387,-121.409837
0506-LVNGN,Rancho Cordova,95742,38.591134,-121.161585
9809-IMGCQ,Canyon Dam,95923,40.171312,-121.120605
3254-YRILK,Dobbins,95935,39.381174,-121.21191
0529-ONKER,Forest Ranch,95942,40.077028,-121.494168
5240-IJOQT,Grass Valley,95949,39.099204,-121.137962
0661-XEYAN,Nevada City,95959,39.333737,-120.858667
2660-EMUBI,Escondido,92027,33.141265,-116.967221
7675-OZCZG,Fallbrook,92028,33.362575,-117.299644
9391-EOYLI,Lewiston,96052,40.704293,-122.803899
2761-OCIAX,Palo Cedro,96073,40.582399,-122.195512
3068-OMWZA,Round Mountain,96084,40.923558,-122.059933
4154-AQUGT,San Diego,92130,32.957195,-117.202542
8017-LXHFA,San Diego,92130,32.957195,-117.202542
4248-QPAVC,San Diego,92130,32.957195,-117.202542
4690-LLKUA,San Diego,92130,32.957195,-117.202542
9490-DFPMD,San Diego,92130,32.957195,-117.202542
8580-AECUZ,San Diego,92130,32.957195,-117.202542
5047-LHVLY,San Diego,92121,32.898613,-117.202937
8375-DKEBR,Hermosa Beach,90254,33.86532,-118.396336
7279-BUYWN,Buena Park,90620,33.845706,-118.012204
7156-MHUGY,Buena Park,90621,33.874224,-117.993368
9606-PBKBQ,Long Beach,90813,33.781086,-118.199049
3536-IQCTX,South Pasadena,91030,34.110444,-118.156957
3132-TVFDZ,Glendale,91202,34.167926,-118.267539
8080-DDEMJ,Glendale,91204,34.136306,-118.26036
6702-OHFWR,Reseda,91335,34.200175,-118.540958
4510-PYUSH,Sylmar,91342,34.321621,-118.399841
8840-DQLGN,Burbank,91502,34.177267,-118.31003
4193-ORFCL,North Hollywood,91606,34.187599,-118.387125
7776-QWNFX,Chino,91710,33.990646,-117.663025
6689-TCZHQ,Claremont,91711,34.127621,-117.717863
9497-QCMMS,San Diego,92117,32.825086,-117.199424
3424-NMNBO,San Diego,92117,32.825086,-117.199424
4514-GFCFI,San Diego,92117,32.825086,-117.199424
8000-REIQB,San Diego,92117,32.825086,-117.199424
4795-KTRTH,San Diego,92122,32.85723,-117.209774
9961-JBNMK,Desert Center,92239,33.889605,-115.257009
6179-GJPSO,Escondido,92027,33.141265,-116.967221
8290-YWKHZ,Fallbrook,92028,33.362575,-117.299644
8051-HJRLT,Wrightwood,92397,34.358321,-117.618263
4021-RQSNY,Moreno Valley,92555,33.907361,-117.109972
9061-TIHDA,Murrieta,92563,33.581045,-117.14719
8699-ASUFO,Nuevo,92567,33.82769,-117.102244
4695-WJZUE,Irvine,92606,33.703976,-117.824172
3988-RQIXO,Corona Del Mar,92625,33.600987,-117.862734
5931-FLJJF,Midway City,92655,33.744439,-117.98588
3207-OYBWH,Newport Beach,92661,33.601309,-117.902304
7216-EWTRS,Newport Beach,92663,33.62251,-117.927024
2528-HFYZX,Santa Ana,92706,33.765893,-117.881533
4140-MUHUG,Oak View,93022,34.404544,-119.302118
1587-FKLZB,Santa Barbara,93101,34.419203,-119.710008
5440-FLBQG,Santa Barbara,93110,34.437945,-119.77191
2774-LVQUS,Temecula,92592,33.507255,-117.029473
4612-THJBS,Terra Bella,93270,35.939068,-119.043666
4094-NSEDU,Temecula,92592,33.507255,-117.029473
1846-XWOQN,Bradley,93426,35.842889,-121.004862
3757-NJYBX,Nipomo,93444,35.050345,-120.489599
9898-KZQDZ,Lee Vining,93541,37.890145,-119.184087
8263-JQAIK,Palmdale,93591,34.598221,-117.79593
2205-YMZZJ,Clovis,93612,36.814539,-119.711868
1254-IZEYF,Cutler,93615,36.497895,-119.285484
9221-OTIVJ,Dunlap,93621,36.789213,-119.140338
5908-QMGOE,Fowler,93625,36.625792,-119.672483
0397-GZBBC,South Dos Palos,93665,36.959731,-120.653519
7641-EUYET,Tranquillity,93668,36.635661,-120.288644
8922-LIEGH,Jolon,93928,35.930782,-121.189757
8245-UMPYT,Lockwood,93932,35.989792,-121.055933
5186-SAMNZ,Marina,93933,36.689582,-121.758398
5373-SFODM,San Lucas,93954,36.125529,-120.864443
0022-TCJCI,Daly City,94015,37.680844,-122.48131
5130-IEKQT,San Francisco,94109,37.794487,-122.42227
3269-ATYWD,San Francisco,94123,37.800254,-122.436975
0354-WYROK,San Francisco,94130,37.820894,-122.369725
7576-OYWBN,San Mateo,94402,37.556634,-122.317723
5539-TMZLF,Concord,94520,38.013825,-122.039144
3336-JORSO,Hayward,94542,37.656695,-122.048361
6861-XWTWQ,Napa,94559,38.232389,-122.324944
4283-FUTGF,El Sobrante,94803,37.963995,-122.288296
2397-BRLOM,San Rafael,94901,37.972662,-122.491452
8510-AWCXC,Novato,94945,38.135897,-122.563683
8225-BTJAU,Stinson Beach,94970,37.921137,-122.657562
1724-BQUHA,Los Gatos,95032,37.233034,-121.947427
4826-XTSOH,Moss Landing,95039,36.863303,-121.781632
2408-WITXK,San Jose,95110,37.34667,-121.910019
2634-HCZGT,San Jose,95126,37.327069,-121.916819
7503-QQRVF,San Jose,95127,37.375156,-121.795867
0709-TVGUR,Stockton,95207,38.002125,-121.324979
3001-CBHLQ,Angels Camp,95222,38.071327,-120.632221
4102-OQUPX,Sheep Ranch,95250,38.244806,-120.417301
3999-QGRJH,Ballico,95303,37.4695,-120.672724
2454-RPBRZ,Catheys Valley,95306,37.394411,-120.127262
2265-CYWIV,Hickman,95323,37.605926,-120.69955
4550-VBOFE,Soulsbyville,95372,37.990574,-120.261821
7409-KIUTL,Escondido,92027,33.141265,-116.967221
1732-VHUBQ,Escondido,92027,33.141265,-116.967221
0679-IDSTG,Branscomb,95417,39.710591,-123.682799
8802-UNOJF,Philo,95466,39.094102,-123.500853
6313-GIDIT,Point Arena,95468,38.911299,-123.609588
2845-AFFTX,Westport,95488,39.724433,-123.767578
2815-CPTUL,Gasquet,95543,41.867908,-123.794144
1891-FZYSA,Piercy,95587,39.955587,-123.681175
9685-WKZGT,Carmichael,95608,38.626128,-121.328011
6022-UGGSO,Citrus Heights,95610,38.69508,-121.271616
3923-CSIHK,Herald,95638,38.313447,-121.123886
3677-IYRBF,Newcastle,95658,38.883224,-121.15918
8118-LSUEL,Roseville,95678,38.759751,-121.288545
5277-ZLOOR,Applegate,95703,38.983388,-120.988814
4248-HCETZ,Sacramento,95814,38.584505,-121.491956
9174-FKWZE,Sacramento,95819,38.567594,-121.437507
5307-DZCVC,Sacramento,95835,38.685069,-121.543709
8679-JOEVF,Sacramento,95838,38.646096,-121.442433
4803-AXVYP,Butte City,95920,39.449794,-121.936372
5649-ANRML,Clipper Mills,95930,39.562239,-121.14836
7395-IGJOS,Quincy,95971,39.971228,-121.041166
7890-VYYWG,Sutter,95982,39.172777,-121.805845
9907-SWKKF,Twain,95984,40.022184,-121.062384
6397-JNZZG,Adin,96006,41.171578,-120.913161
7779-LGOVN,Paskenta,96074,39.884395,-122.587513
9710-ZUSHQ,Red Bluff,96080,40.186772,-122.388361
3902-FOIGH,Doyle,96109,40.012675,-120.101857
3318-OSATS,Sierra City,96125,39.600599,-120.636358
2636-ALXXZ,Tahoe Vista,96148,39.24124,-120.054765
9885-CSMWE,Los Angeles,90007,34.027337,-118.28515
8058-JMEQO,San Diego,92121,32.898613,-117.202937
7657-DYEPJ,Los Angeles,90024,34.066303,-118.435479
8276-MQBYC,Los Angeles,90028,34.099869,-118.326843
6015-VVHHE,Los Angeles,90039,34.110845,-118.259595
2516-VQRRV,Culver City,90230,33.993991,-118.39704
7580-UGXNC,Culver City,90232,34.019323,-118.391902
5178-LMXOP,Gardena,90248,33.876482,-118.284077
7056-IMHCC,Torrance,90501,33.833699,-118.314387
8749-JMNKX,Montebello,90640,34.015217,-118.109962
0917-EZOLA,Lakewood,90713,33.847755,-118.112532
8414-MYSHR,Arcadia,91007,34.128284,-118.047732
4988-IQIGL,Canoga Park,91304,34.224377,-118.632656
4706-AXVKM,Stevenson Ranch,91381,34.364153,-118.615583
5889-JTMUL,Castaic,91384,34.506627,-118.699048
9026-RNUJS,Van Nuys,91401,34.178483,-118.431791
1624-NALOJ,North Hollywood,91605,34.207295,-118.400022
6210-KBBPI,West Covina,91790,34.066964,-117.937007
